Contact Name,Company_name,Contact_id,Local Salutation,Region,Country
Dante Acosta,Bear Stearns,00v2000000c9qNrAAI,Dear Dante Acosta,EMEA,Portugal
Dante Humphrey,Bear Stearns,00v2000000dUeo6AAC,Dear Dante Humphrey,EMEA,Portugal
Dante Kline,Bloomberg,00v2000000dy7ugAAA,Dear Dante Kline,EMEA,Portugal
Darius Freeman,Bloomberg,00v2000000KK9a4AAD,Dear Darius Freeman,EMEA,Portugal
Darius Mccormick,Bloomberg,00vD000000h3WcHIAU,Dear Darius Mccormick,EMEA,Portugal
Darius Sweet,Bloomberg LP,00v2000000NZKyPAAX,Dear Darius Sweet,EMEA,Portugal
Darius Valencia,Bloomberg LP,00v2000000MjjnGAAR,Dear Darius Valencia,EMEA,Portugal
Darrel Benton,Bloomberg LP,00v2000000LNkKlAAL,Dear Darrel Benton,EMEA,Portugal
Darrel Santos,Capital One Financial Corporation,00v2000000dg296AAA,Dear Darrel Santos,EMEA,Portugal
Darryl Schneider,Capital One Financial Corporation,00v2000000RBxnmAAD,Dear Darryl Schneider,EMEA,Portugal
Daryl Coby,Capital One Financial Corporation,00v2000000G6CMnAAN,Dear Daryl Coby,EMEA,Portugal
Daryl Newman,CIT Group,00v2000000U3F4GAAV,Dear Daryl Newman,EMEA,Portugal
David Graham,CIT Group,00vD000000h2mHrIAI,Dear David Graham,EMEA,Portugal
Davis Lee,CIT Group,00v2000000KNNGxAAP,Dear Davis Lee,EMEA,Portugal
Day Magee,Citigroup,00v2000000UmtKeAAJ,Dear Day Magee,EMEA,Portugal
Dean Cameron,Citigroup,00v2000000IcYWGAA3,Dear Dean Cameron,EMEA,Portugal
Dean Clay,Citigroup,00v2000000LNmagAAD,Dear Dean Clay,EMEA,Portugal
Dean Mejia,CitiGroup Global Markets Inc.,00v2000000JdONmAAN,Dear Dean Mejia,EMEA,Portugal
Dean Santiago,CitiGroup Global Markets Inc.,00v2000000IaL5ZAAV,Dear Dean Santiago,EMEA,Portugal
Deanna Becker,CitiGroup Global Markets Inc.,00v2000000MhWDfAAN,Dear Deanna Becker,EMEA,Portugal
Deanna Burch,Citizens Financial,00v2000000TO10rAAD,Dear Deanna Burch,EMEA,Portugal
Deanna Mcmahon,Citizens Financial,00v2000000fFQm8AAG,Dear Deanna Mcmahon,EMEA,Portugal
Debra Aguirre,Citizens Financial,00v2000000MhXJ2AAN,Dear Debra Aguirre,EMEA,Portugal
Debra Walsh,The Equitable,00v2000000HQsUVAA1,Dear Debra Walsh,EMEA,Portugal
Declan Beard,The Equitable,00v2000000MOXmBAAX,Dear Declan Beard,EMEA,Portugal
Declan Cote,The Equitable,00v2000000M7rXOAAZ,Dear Declan Cote,EMEA,Portugal
Demetrius Summers,The Guardian Life Insurance Company of America,00v2000000GcAM0AAN,Dear Demetrius Summers,EMEA,Portugal
Denise Bond,The Guardian Life Insurance Company of America,00v2000000cpJ6cAAE,Dear Denise Bond,EMEA,Portugal
Denise Knox,The Guardian Life Insurance Company of America,00v2000000QE5fBAAT,Dear Denise Knox,EMEA,Portugal
Dennis Anderson,The Travelers Companies Inc.,00v2000000JcQzKAAV,Dear Dennis Anderson,EMEA,Portugal
Dennis Buck,The Travelers Companies Inc.,00v2000000ZCF8OAAX,Dear Dennis Buck,EMEA,Portugal
Dennis Henson,The Travelers Companies Inc.,00v2000000MkboDAAR,Dear Dennis Henson,EMEA,Portugal
Dennis Hopper,Independent,00v2000000GcYcnAAF,Dear Dennis Hopper,EMEA,Portugal
Dennis Lowe,ING Groep,00v2000000cpBCiAAM,Dear Dennis Lowe,EMEA,Portugal
Dennis Young,Deloitte Touche Tohmatsu,00v2000000NZQkrAAH,Dear Dennis Young,EMEA,Portugal
Denton Boone,HSBC USA,00v2000000eKmTVAA0,Dear Denton Boone,EMEA,Portugal
Denton Deleon,Deutsche Bank,00v2000000cTJSIAA4,Dear Denton Deleon,EMEA,Portugal
Denton Gutierrez,First of America Bank,00v2000000IaQhfAAF,Dear Denton Gutierrez,EMEA,Portugal
Denton Massey,Mellon Financial,00v2000000IaQheAAF,Dear Denton Massey,EMEA,Portugal
Denton Mcdaniel,CIT Group,00v2000000WNjZEAA1,Dear Denton Mcdaniel,EMEA,Portugal
Denton Oconnor,AIG SunAmerica,00v2000000IaQZIAA3,Dear Denton Oconnor,EMEA,Portugal
Denton Powers,Deutsche Bank AG,00v2000000aFCW5AAO,Dear Denton Powers,EMEA,Portugal
Desirae Barrett,ING Groep NV,00v2000000KNNtRAAX,Dear Desirae Barrett,EMEA,Portugal
Desirae Frederick,CountryWide Financial Corporation,00v2000000aFAnwAAG,Dear Desirae Frederick,EMEA,Portugal
Desirae Glenn,Legg Mason Inc.,00v2000000MiVXeAAN,Dear Desirae Glenn,EMEA,Portugal
Desirae Holt,Fifth Third Bancorp,00v2000000aH4cdAAC,Dear Desirae Holt,EMEA,Portugal
Desiree Becker,Norwest Venture Capital Management Inc.,00v2000000Nbl5cAAB,Dear Desiree Becker,EMEA,Portugal
Desiree Dean,HSBC Holding PLC,00v2000000eJRCGAA4,Dear Desiree Dean,EMEA,Portugal
Devin Hart,Pacific Life Insurance Company,00v2000000OSSvXAAX,Dear Devin Hart,EMEA,Portugal
Devin Johns,Massachusetts Mutual Life Insurance Company,00v2000000c7dBnAAI,Dear Devin Johns,EMEA,Portugal
Devin Wallace,National City Corporation,00v2000000MhWqCAAV,Dear Devin Wallace,EMEA,Portugal
Dexter Barr,Pacific Mutual Holding Company,00v2000000WmAiPAAV,Dear Dexter Barr,EMEA,Portugal
Dexter Byers,The Equitable,00v2000000JctrtAAB,Dear Dexter Byers,EMEA,Portugal
Diana Gonzales,KeyBank National Association,00v2000000V9u9zAAB,Dear Diana Gonzales,EMEA,Portugal
Diana Rice,The Guardian Life Insurance Company of America,00v2000000MOYM4AAP,Dear Diana Rice,EMEA,Portugal
Diaz Dickson,Diebold Inc.,00v2000000dy7tXAAQ,Dear Diaz Dickson,EMEA,Portugal
Diaz Hendricks,Moody’s Corporation,00v2000000QGKzoAAH,Dear Diaz Hendricks,EMEA,Portugal
Diaz Velasquez,The Travelers Companies Inc.,00v2000000UPfK4AAL,Dear Diaz Velasquez,EMEA,Portugal
Dickson Walsh,HSBC,00v2000000JDSlVAAX,Dear Dickson Walsh,EMEA,Portugal
Dieter Chandler,HSBC,00v2000000LNzxEAAT,Dear Dieter Chandler,EMEA,Portugal
Dillon Lamar,HSBC,00v2000000U42pdAAB,Dear Dillon Lamar,EMEA,Portugal
Dolan Dalton,HSBC,00v2000000Z9WSUAA3,Dear Dolan Dalton,EMEA,Portugal
Dolan Hudson,HSBC,00v2000000bmxLvAAI,Dear Dolan Hudson,EMEA,Portugal
Dolan Simon,HSBC,00v2000000JbSynAAF,Dear Dolan Simon,EMEA,Portugal
Dolan Terry,HSBC,00v2000000MkdNAAAZ,Dear Dolan Terry,EMEA,Portugal
Dominic Castillo,HSBC,00v2000000JDHioAAH,Dear Dominic Castillo,EMEA,Portugal
Dominic Hartman,HSBC,00v2000000dyPw7AAE,Dear Dominic Hartman,EMEA,Portugal
Dominic Higgins,HSBC,00v2000000MipMFAAZ,Dear Dominic Higgins,EMEA,Portugal
Dominic Johns,HSBC,00v2000000I4VSZAA3,Dear Dominic Johns,EMEA,Portugal
Dominic Le,HSBC,00v2000000HRYNcAAP,Dear Dominic Le,EMEA,Portugal
Dominic Mays,HSBC,00v2000000U39OsAAJ,Dear Dominic Mays,EMEA,Portugal
Donovan Harmon,HSBC,00v2000000Gf7S6AAJ,Dear Donovan Harmon,EMEA,Portugal
Dora Levy,HSBC,00v2000000VjMIWAA3,Dear Dora Levy,EMEA,Portugal
Dora Rios,HSBC,00v2000000HSBtDAAX,Dear Dora Rios,EMEA,Portugal
Dorian Barlow,HSBC,00v2000000OSiefAAD,Dear Dorian Barlow,EMEA,Portugal
Dorian Barr,HSBC,00v2000000TNxE6AAL,Dear Dorian Barr,EMEA,Portugal
Dorian Rosario,HSBC,00v2000000IZleTAAT,Dear Dorian Rosario,EMEA,Portugal
Dorothy Hood,HSBC,00v2000000JC5JJAA1,Dear Dorothy Hood,EMEA,Portugal
Dorothy Sellers,HSBC,00v2000000FEV9yAAH,Dear Dorothy Sellers,EMEA,Portugal
Dorsey Gavin,HSBC,00v2000000FRTtfAAH,Dear Dorsey Gavin,EMEA,Portugal
Dotson Wallace,HSBC,00v2000000MLvH5AAL,Dear Dotson Wallace,EMEA,Portugal
Douglas Barlow,HSBC,00v2000000HQgn6AAD,Dear Douglas Barlow,EMEA,Portugal
Doyle Hoffman,HSBC,00v2000000Yc6rzAAB,Dear Doyle Hoffman,EMEA,Portugal
Drake Alvarado,HSBC,00v2000000UmfKYAAZ,Dear Drake Alvarado,EMEA,Portugal
Drake Gibbs,HSBC,00v2000000H3mITAAZ,Dear Drake Gibbs,EMEA,Portugal
Drake Griffin,HSBC,00v2000000HPzD3AAL,Dear Drake Griffin,EMEA,Portugal
Driscoll Palmer,HSBC,00v2000000HPzmNAAT,Dear Driscoll Palmer,EMEA,Portugal
Driscoll Reid,HSBC,00v2000000HSwt0AAD,Dear Driscoll Reid,EMEA,Portugal
Driscoll Santana,HSBC,00v2000000Ictw8AAB,Dear Driscoll Santana,EMEA,Portugal
Driscoll Terry,HSBC,00v2000000JaiBeAAJ,Dear Driscoll Terry,EMEA,Portugal
Dudley Bean,HSBC,00v2000000LOgdYAAT,Dear Dudley Bean,EMEA,Portugal
Duffy Rocha,HSBC,00v2000000LOIQfAAP,Dear Duffy Rocha,EMEA,Portugal
Duncan Acevedo,HSBC,00v2000000M8mvWAAR,Dear Duncan Acevedo,EMEA,Portugal
Duncan Holder,HSBC,00v2000000M6gfvAAB,Dear Duncan Holder,EMEA,Portugal
Duncan Robles,HSBC,00v2000000MNEatAAH,Dear Duncan Robles,EMEA,Portugal
Duncan Schwartz,HSBC,00v2000000MiigcAAB,Dear Duncan Schwartz,EMEA,Portugal
Dunn Morgan,HSBC,00v2000000MiR9DAAV,Dear Dunn Morgan,EMEA,Portugal
Dunn Powers,HSBC,00v2000000MjOy4AAF,Dear Dunn Powers,EMEA,Portugal
Duran Haley,HSBC,00v2000000MjhroAAB,Dear Duran Haley,EMEA,Portugal
Duran Vasquez,HSBC,00v2000000NZLvxAAH,Dear Duran Vasquez,EMEA,Portugal
Dustin Mayo,HSBC,00v2000000NaU5PAAV,Dear Dustin Mayo,EMEA,Portugal
Dustin Powers,HSBC,00v2000000NbEvgAAF,Dear Dustin Powers,EMEA,Portugal
Dustin Stein,HSBC,00v2000000MOjGPAA1,Dear Dustin Stein,EMEA,Portugal
Dyer Gray,HSBC,00v2000000NdC0tAAF,Dear Dyer Gray,EMEA,Portugal
Eagan Hancock,HSBC,00v2000000OSjYgAAL,Dear Eagan Hancock,EMEA,Portugal
Eagan Klein,HSBC,00v2000000OT9iIAAT,Dear Eagan Klein,EMEA,Portugal
Eagan Maldonado,HSBC,00v2000000PKyO1AAL,Dear Eagan Maldonado,EMEA,Portugal
Eagan Mcdowell,HSBC,00v2000000PLSsjAAH,Dear Eagan Mcdowell,EMEA,Portugal
Eagan Santana,HSBC,00v2000000PNSc7AAH,Dear Eagan Santana,EMEA,Portugal
Eagan Webster,HSBC,00v2000000POHO2AAP,Dear Eagan Webster,EMEA,Portugal
Eagan Woods,HSBC,00v2000000QH2AlAAL,Dear Eagan Woods,EMEA,Portugal
Eaton Johns,HSBC,00v2000000QH6m9AAD,Dear Eaton Johns,EMEA,Portugal
Echo David,HSBC,00v2000000QGyF2AAL,Dear Echo David,EMEA,Portugal
Echo Kenneth,HSBC,00v2000000R9vRgAAJ,Dear Echo Kenneth,EMEA,Portugal
Echo Oconnor,HSBC,00v2000000R9wDkAAJ,Dear Echo Oconnor,EMEA,Portugal
Edan Mcdonald,HSBC,00v2000000RAE0LAAX,Dear Edan Mcdonald,EMEA,Portugal
Edward Irwin,HSBC,00v2000000RAyXgAAL,Dear Edward Irwin,EMEA,Portugal
Edward Rocha,HSBC,00v2000000RBultAAD,Dear Edward Rocha,EMEA,Portugal
Eliana Stark,HSBC,00v2000000RDHG3AAP,Dear Eliana Stark,EMEA,Portugal
Ella Erich,HSBC,00v2000000VhydIAAR,Dear Ella Erich,EMEA,Portugal
Ella Sharp,HSBC,00v2000000SihFGAAZ,Dear Ella Sharp,EMEA,Portugal
Ella Solomon,HSBC,00v2000000TLOYHAA5,Dear Ella Solomon,EMEA,Portugal
Ella Vaughan,HSBC,00v2000000TNLcAAAX,Dear Ella Vaughan,EMEA,Portugal
Elliott Charles,HSBC,00v2000000U0B3CAAV,Dear Elliott Charles,EMEA,Portugal
Elliott Guerra,HSBC,00v2000000JbiZZAAZ,Dear Elliott Guerra,EMEA,Portugal
Elliott Leonard,HSBC,00v2000000WPcBuAAL,Dear Elliott Leonard,EMEA,Portugal
Elliott Mcdaniel,HSBC,00v2000000WxF5GAAV,Dear Elliott Mcdaniel,EMEA,Portugal
Elliott Morrison,HSBC,00v2000000VBKa5AAH,Dear Elliott Morrison,EMEA,Portugal
Elliott Santiago,HSBC,00v2000000VBzEjAAL,Dear Elliott Santiago,EMEA,Portugal
Ellison Aguirre,HSBC,00v2000000Vi65oAAB,Dear Ellison Aguirre,EMEA,Portugal
Elmo Horne,HSBC,00v2000000ViqZNAAZ,Dear Elmo Horne,EMEA,Portugal
Elmo Shaw,HSBC,00v2000000YcZKdAAN,Dear Elmo Shaw,EMEA,Portugal
Elton Berry,HSBC,00v2000000ZASaXAAX,Dear Elton Berry,EMEA,Portugal
Elton Daniel,HSBC,00v2000000ZAcgXAAT,Dear Elton Daniel,EMEA,Portugal
Elton Delgado,HSBC,00v2000000cTD2DAAW,Dear Elton Delgado,EMEA,Portugal
Elton Gamble,HSBC,00v2000000dyBbrAAE,Dear Elton Gamble,EMEA,Portugal
Elton Gordon,HSBC,00v2000000dyjaDAAQ,Dear Elton Gordon,EMEA,Portugal
Elton Maynard,HSBC,00v2000000Ic9oDAAR,Dear Elton Maynard,EMEA,Portugal
Elton Phillips,HSBC,00v2000000VBvLZAA1,Dear Elton Phillips,EMEA,Portugal
Elton Wiggins,HSBC,00v2000000TNK0gAAH,Dear Elton Wiggins,EMEA,Portugal
Emerald Cross,HSBC,00v2000000TNK8AAAX,Dear Emerald Cross,EMEA,Portugal
Emerald Kent,HSBC,00v2000000g6kezAAA,Dear Emerald Kent,EMEA,Portugal
Emerson Barr,HSBC,00v2000000U02DTAAZ,Dear Emerson Barr,EMEA,Portugal
Emerson Graham,HSBC,00v2000000U02efAAB,Dear Emerson Graham,EMEA,Portugal
Emerson Wilder,HSBC,00v2000000TNi1IAAT,Dear Emerson Wilder,EMEA,Portugal
Emerson Young,HSBC,00v2000000TO0f0AAD,Dear Emerson Young,EMEA,Portugal
Emery Chan,HSBC,00v2000000U0qxUAAR,Dear Emery Chan,EMEA,Portugal
Emery Harding,HSBC,00v2000000U0qyxAAB,Dear Emery Harding,EMEA,Portugal
Emily Christian,HSBC,00v2000000U1nAMAAZ,Dear Emily Christian,EMEA,Portugal
Emmanuel Jones,HSBC,00v2000000U1uMBAAZ,Dear Emmanuel Jones,EMEA,Portugal
Erasmus Dean,HSBC,00v2000000U2KroAAF,Dear Erasmus Dean,EMEA,Portugal
Erasmus Duran,HSBC,00v2000000UnxH0AAJ,Dear Erasmus Duran,EMEA,Portugal
Erasmus Hubbard,HSBC,00v2000000WOfDiAAL,Dear Erasmus Hubbard,EMEA,Portugal
Erasmus Nguyen,HSBC,00v2000000WPEQXAA5,Dear Erasmus Nguyen,EMEA,Portugal
Eric Rivers,HSBC,00v2000000WPc54AAD,Dear Eric Rivers,EMEA,Portugal
Eric Summers,HSBC,00v2000000WOI5zAAH,Dear Eric Summers,EMEA,Portugal
Erich Callahan,HSBC,00v2000000WmC6OAAV,Dear Erich Callahan,EMEA,Portugal
Erich Tanner,HSBC,00v2000000VAIv1AAH,Dear Erich Tanner,EMEA,Portugal
Erickson Cotton,HSBC,00v2000000VAUgyAAH,Dear Erickson Cotton,EMEA,Portugal
Erickson Jimenez,HSBC,00v2000000VBLMJAA5,Dear Erickson Jimenez,EMEA,Portugal
Erin Kasper,HSBC,00v2000000VhwQeAAJ,Dear Erin Kasper,EMEA,Portugal
Erin Mcpherson,HSBC,00v2000000ViXklAAF,Dear Erin Mcpherson,EMEA,Portugal
Erin Price,HSBC,00v2000000VjzH0AAJ,Dear Erin Price,EMEA,Portugal
Erin Pruitt,HSBC,00v2000000VjzLwAAJ,Dear Erin Pruitt,EMEA,Portugal
Erin Sloan,HSBC,00v2000000VkHRDAA3,Dear Erin Sloan,EMEA,Portugal
Estes Vernon,HSBC,00v2000000VjNk3AAF,Dear Estes Vernon,EMEA,Portugal
Estrada Guzman,HSBC,00v2000000VjPawAAF,Dear Estrada Guzman,EMEA,Portugal
Ethan Cline,HSBC,00v2000000WxXBDAA3,Dear Ethan Cline,EMEA,Portugal
Ethan Figueroa,HSBC,00v2000000Wx2XfAAJ,Dear Ethan Figueroa,EMEA,Portugal
Ethan Howell,HSBC,00v2000000WyEuVAAV,Dear Ethan Howell,EMEA,Portugal
Ethan Kramer,HSBC,00v2000000WyRWNAA3,Dear Ethan Kramer,EMEA,Portugal
Ethan Mcclain,HSBC,00v2000000XPR5OAAX,Dear Ethan Mcclain,EMEA,Portugal
Eugenia Butler,HSBC,00v2000000XyL6MAAV,Dear Eugenia Butler,EMEA,Portugal
Eugenia Samson,HSBC,00v2000000YbZMLAA3,Dear Eugenia Samson,EMEA,Portugal
Eugenia Thompson,HSBC,00v2000000Ybd8XAAR,Dear Eugenia Thompson,EMEA,Portugal
Evan Frost,HSBC,00v2000000Ybs3HAAR,Dear Evan Frost,EMEA,Portugal
Evan Holloway,HSBC,00v2000000YcCLeAAN,Dear Evan Holloway,EMEA,Portugal
Evelyn Knowles,HSBC,00v2000000YcXncAAF,Dear Evelyn Knowles,EMEA,Portugal
Evelyn Knox,HSBC,00v2000000YcXfdAAF,Dear Evelyn Knox,EMEA,Portugal
Evelyn Larson,HSBC,00v2000000YcbdkAAB,Dear Evelyn Larson,EMEA,Portugal
Evelyn Scott,HSBC,00v2000000ZAbyWAAT,Dear Evelyn Scott,EMEA,Portugal
Everett Sexton,HSBC,00v2000000ZAo18AAD,Dear Everett Sexton,EMEA,Portugal
Ewing Anderson,HSBC,00v2000000ZC2M7AAL,Dear Ewing Anderson,EMEA,Portugal
Ewing May,HSBC,00v2000000ZAs2iAAD,Dear Ewing May,EMEA,Portugal
Ezekiel Burch,HSBC,00v2000000ZBlRmAAL,Dear Ezekiel Burch,EMEA,Portugal
Ezekiel Hamilton,HSBC,00v2000000ZAqJQAA1,Dear Ezekiel Hamilton,EMEA,Portugal
Ezekiel Melendez,HSBC,00v2000000ZAV1sAAH,Dear Ezekiel Melendez,EMEA,Portugal
Ezekiel Obrien,HSBC,00v2000000Yd8IbAAJ,Dear Ezekiel Obrien,EMEA,Portugal
Ezra Cummings,BlackRock,00v2000000ZAtcWAAT,Dear Ezra Cummings,EMEA,Portugal
Ezra Ellison,BlackRock,00v2000000ZCmAkAAL,Dear Ezra Ellison,EMEA,Portugal
Ezra Hill,BlackRock,00v2000000aDwweAAC,Dear Ezra Hill,EMEA,Portugal
Fallon Lynn,BlackRock,00v2000000aDxlNAAS,Dear Fallon Lynn,EMEA,Portugal
Fallon Odysseus,BlackRock,00v2000000WyAjkAAF,Dear Fallon Odysseus,EMEA,Portugal
Farley Rosales,BlackRock,00v2000000aENICAA4,Dear Farley Rosales,EMEA,Portugal
Farmer Dunn,BlackRock,00v2000000aF1uNAAS,Dear Farmer Dunn,EMEA,Portugal
Farrah Melvin,BlackRock,00v2000000aF27CAAS,Dear Farrah Melvin,EMEA,Portugal
Farrah Odom,BlackRock,00v2000000aFzQCAA0,Dear Farrah Odom,EMEA,Portugal
Fay Gavin,BlackRock,00v2000000bF3U0AAK,Dear Fay Gavin,EMEA,Portugal
Fay Walters,BlackRock,00v2000000bFrAyAAK,Dear Fay Walters,EMEA,Portugal
Felicia Moon,BlackRock,00v2000000bFx0gAAC,Dear Felicia Moon,EMEA,Portugal
Felicia Snow,BlackRock,00v2000000bGG9CAAW,Dear Felicia Snow,EMEA,Portugal
Felix Benton,BlackRock,00v2000000bwukYAAQ,Dear Felix Benton,EMEA,Portugal
Felix Huber,BlackRock,00v2000000ezMTlAAM,Dear Felix Huber,EMEA,Portugal
Felix Oneill,BlackRock,00v2000000c8CNBAA2,Dear Felix Oneill,EMEA,Portugal
Felix Patton,BlackRock,00v2000000cVL5CAAW,Dear Felix Patton,EMEA,Portugal
Ferdinand Ewing,BlackRock,00v2000000cV4GCAA0,Dear Ferdinand Ewing,EMEA,Portugal
Ferguson Mufutau,BlackRock,00v2000000cV9UGAA0,Dear Ferguson Mufutau,EMEA,Portugal
Fernandez Arthur,BlackRock,00v2000000cTuc0AAC,Dear Fernandez Arthur,EMEA,Portugal
Ferris Morgan,BlackRock,00v2000000cTMZaAAO,Dear Ferris Morgan,EMEA,Portugal
Fields Pratt,BlackRock,00v2000000colxgAAA,Dear Fields Pratt,EMEA,Portugal
Figueroa Reilly,BlackRock,00v2000000d2IqkAAE,Dear Figueroa Reilly,EMEA,Portugal
Figueroa Rigel,BlackRock,00v2000000d3QJ9AAM,Dear Figueroa Rigel,EMEA,Portugal
Finn Gaines,BlackRock,00v2000000dUdydAAC,Dear Finn Gaines,EMEA,Portugal
Fiona Good,BlackRock,00v2000000dUhAmAAK,Dear Fiona Good,EMEA,Portugal
Fiona Hamilton,BlackRock,00v2000000dXOQAAA4,Dear Fiona Hamilton,EMEA,Portugal
Fitzgerald Hahn,BlackRock,00v2000000dgKM4AAM,Dear Fitzgerald Hahn,EMEA,Portugal
Fitzgerald Mayer,BlackRock,00v2000000dgQdjAAE,Dear Fitzgerald Mayer,EMEA,Portugal
Flavia Becker,BlackRock,00v2000000dXMHEAA4,Dear Flavia Becker,EMEA,Portugal
Flavia Rosario,BlackRock,00v2000000gJoIHAA0,Dear Flavia Rosario,EMEA,Portugal
Fleming Bradley,BlackRock,00v2000000dy1f2AAA,Dear Fleming Bradley,EMEA,Portugal
Fleming Maynard,BlackRock,00v2000000dy4XyAAI,Dear Fleming Maynard,EMEA,Portugal
Fleming Mccarthy,BlackRock,00v2000000dyA59AAE,Dear Fleming Mccarthy,EMEA,Portugal
Fletcher Colon,BlackRock,00v2000000dzGguAAE,Dear Fletcher Colon,EMEA,Portugal
Fletcher Dennis,BlackRock,00v2000000di4TcAAI,Dear Fletcher Dennis,EMEA,Portugal
Fletcher Mcguire,Goldman Sachs,00v2000000dylOfAAI,Dear Fletcher Mcguire,EMEA,Portugal
Fletcher Powers,Goldman Sachs,00v2000000dzGvrAAE,Dear Fletcher Powers,EMEA,Portugal
Florence Dante,Goldman Sachs,00v2000000eJXp1AAG,Dear Florence Dante,EMEA,Portugal
Florence Malone,Goldman Sachs,00v2000000eJWwoAAG,Dear Florence Malone,EMEA,Portugal
Floyd Henry,Goldman Sachs,00v2000000eJcM5AAK,Dear Floyd Henry,EMEA,Portugal
Flynn Alvarado,Goldman Sachs,00v2000000e04ZsAAI,Dear Flynn Alvarado,EMEA,Portugal
Flynn Richardson,Goldman Sachs,00v2000000dzlTIAAY,Dear Flynn Richardson,EMEA,Portugal
Foley Mcguire,Goldman Sachs,00v2000000eKkteAAC,Dear Foley Mcguire,EMEA,Portugal
Forbes Reese,Goldman Sachs,00v2000000dzKONAA2,Dear Forbes Reese,EMEA,Portugal
Foster Nixon,Goldman Sachs,00v2000000erPTpAAM,Dear Foster Nixon,EMEA,Portugal
Frances Jimenez,Goldman Sachs,00v2000000esgoxAAA,Dear Frances Jimenez,EMEA,Portugal
Frances Navarro,Goldman Sachs,00v2000000eybqDAAQ,Dear Frances Navarro,EMEA,Portugal
Francis Orr,Goldman Sachs,00v2000000eyfeIAAQ,Dear Francis Orr,EMEA,Portugal
Francis Reed,Goldman Sachs,00v2000000ezMzrAAE,Dear Francis Reed,EMEA,Portugal
Francis Stephen,Goldman Sachs,00v2000000f9DU0AAM,Dear Francis Stephen,EMEA,Portugal
Francis Young,Goldman Sachs,00v2000000f0z7JAAQ,Dear Francis Young,EMEA,Portugal
Franklin Benjamin,Aflac Inc.,00v2000000f1Y0gAAE,Dear Franklin Benjamin,EMEA,Portugal
Franks Dane,Aflac Inc.,00v2000000fFX4aAAG,Dear Franks Dane,EMEA,Portugal
Franks Gonzales,Aflac Inc.,00v2000000f8ecjAAA,Dear Franks Gonzales,EMEA,Portugal
Frazier Barr,AIG SunAmerica,00v2000000fhEuPAAU,Dear Frazier Barr,EMEA,Portugal
Freeman Leonard,AIG SunAmerica,00v2000000fw3ReAAI,Dear Freeman Leonard,EMEA,Portugal
Freeman Rocha,AIG SunAmerica,00v2000000fksVHAAY,Dear Freeman Rocha,EMEA,Portugal
French Clay,American Express Company,00v2000000fxNBWAA2,Dear French Clay,EMEA,Portugal
Freya Lancaster,American Express Company,00v2000000fwpiIAAQ,Dear Freya Lancaster,EMEA,Portugal
Freya Olsen,American Express Company,00v2000000g48m1AAA,Dear Freya Olsen,EMEA,Portugal
Freya Stephenson,Bank of America Corporation,00v2000000gTNqYAAW,Dear Freya Stephenson,EMEA,Portugal
Freya Talley,Bank of America Corporation,00v2000000guAPcAAM,Dear Freya Talley,EMEA,Portugal
Fritz Dunn,Bank of America Corporation,00v2000000SKHGyAAP,Dear Fritz Dunn,EMEA,Portugal
Fritz Keller,Bank One Corporation,00vD000000h2eWWIAY,Dear Fritz Keller,EMEA,Portugal
Fritz Sloan,Bank One Corporation,00vD000000h1PUKIA2,Dear Fritz Sloan,EMEA,Portugal
Fritz Willis,Bank One Corporation,00vD000000h2mpgIAA,Dear Fritz Willis,EMEA,Portugal
Frost Pickett,Bear Stearns,00v2000000FRVMSAA5,Dear Frost Pickett,EMEA,Portugal
Frost Savage,Bear Stearns,00v2000000bvh6CAAQ,Dear Frost Savage,EMEA,Portugal
Fry Workman,Bear Stearns,00v2000000G3jx5AAB,Dear Fry Workman,EMEA,Portugal
Frye Dalton,Bloomberg,00v2000000YdAhfAAF,Dear Frye Dalton,EMEA,Portugal
Frye Perry,Bloomberg,00v2000000M62AoAAJ,Dear Frye Perry,EMEA,Portugal
Fulton Cameron,Bloomberg,00v2000000GcnQvAAJ,Dear Fulton Cameron,EMEA,Portugal
Fulton Jarvis,Bloomberg LP,00v2000000GccIGAAZ,Dear Fulton Jarvis,EMEA,Portugal
Gabriel Mccray,Bloomberg LP,00v2000000GcTbwAAF,Dear Gabriel Mccray,EMEA,Portugal
Gabriel Taylor,Bloomberg LP,00v2000000Fjtg2AAB,Dear Gabriel Taylor,EMEA,Italy
Gage Hamilton,Capital One Financial Corporation,00v2000000GcpoBAAR,Dear Gage Hamilton,EMEA,Italy
Gage Lang,Capital One Financial Corporation,00v2000000Fj28gAAB,Dear Gage Lang,EMEA,Italy
Gage Morales,Capital One Financial Corporation,00v2000000FlpGgAAJ,Dear Gage Morales,EMEA,Italy
Gage Raymond,CIT Group,00v2000000GdLonAAF,Dear Gage Raymond,EMEA,Italy
Gail Bolton,CIT Group,00v2000000Fkur3AAB,Dear Gail Bolton,EMEA,Italy
Gail Jordan,CIT Group,00v2000000FlHEWAA3,Dear Gail Jordan,EMEA,Italy
Gaines Glenn,Citigroup,00v2000000FmacKAAR,Dear Gaines Glenn,EMEA,Italy
Gaines Olsen,Citigroup,00v2000000G3im3AAB,Dear Gaines Olsen,EMEA,Italy
Gallagher Brennan,Citigroup,00v2000000Geet0AAB,Dear Gallagher Brennan,EMEA,Italy
Gallegos Pugh,CitiGroup Global Markets Inc.,00v2000000FlKOOAA3,Dear Gallegos Pugh,EMEA,Italy
